tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614447	0	live	16Sa	VCr001	16S ribosomal RNA			I	NC_002505.1	53823	55357	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614873	0	live	16Sb	VCr004	16S ribosomal RNA			I	NC_002505.1	151059	152593	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615100	0	live	16Sc	VCr007	16S ribosomal RNA			I	NC_002505.1	324147	325681	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615032	0	live	16Sd	VCr010	16S ribosomal RNA			I	NC_002505.1	401751	403286	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615718	0	live	16Se	VCr013	16S ribosomal RNA			I	NC_002505.1	762775	764309	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615157	0	live	16Sf	VCr018	16S ribosomal RNA			I	NC_002505.1	2679884	2681418	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614922	0	live	16Sg	VCr021	16S ribosomal RNA			I	NC_002505.1	2931745	2933279	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614928	0	live	16Sh	VCr024	16S ribosomal RNA			I	NC_002505.1	2937466	2939001	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614453	0	live	23Sa	VCr002	23S ribosomal RNA			I	NC_002505.1	55784	58670	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614863	0	live	23Sb	VCr005	23S ribosomal RNA			I	NC_002505.1	153026	155912	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615103	0	live	23Sc	VCr008	23S ribosomal RNA			I	NC_002505.1	326193	329079	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614983	0	live	23Sd	VCr011	23S ribosomal RNA			I	NC_002505.1	403799	406685	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615720	0	live	23Se	VCr014	23S ribosomal RNA			I	NC_002505.1	764742	767627	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615154	0	live	23Sf	VCr017	23S ribosomal RNA			I	NC_002505.1	2676486	2679372	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614917	0	live	23Sg	VCr020	23S ribosomal RNA			I	NC_002505.1	2928143	2931031	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614924	0	live	23Sh	VCr023	23S ribosomal RNA			I	NC_002505.1	2933891	2936778	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614433	0	live	5Sa	VCr003	5S ribosomal RNA			I	NC_002505.1	58798	58915	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614853	0	live	5Sb	VCr006	5S ribosomal RNA			I	NC_002505.1	156041	156158	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615104	0	live	5Sc	VCr009	5S ribosomal RNA			I	NC_002505.1	329207	329324	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614984	0	live	5Sd	VCr012	5S ribosomal RNA			I	NC_002505.1	406813	406930	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615721	0	live	5Se	VCr015	5S ribosomal RNA			I	NC_002505.1	767755	767872	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615153	0	live	5Sf	VCr016	5S ribosomal RNA			I	NC_002505.1	2676241	2676358	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614916	0	live	5Sg	VCr019	5S ribosomal RNA			I	NC_002505.1	2927898	2928015	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614923	0	live	5Sh	VCr022	5S ribosomal RNA			I	NC_002505.1	2933646	2933763	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2613740	0	live	aat	VC1735	leucyl/phenylalanyl-tRNA--protein transferase	leucyl/phenylalanyl-tRNA--protein transferase		I	NC_002505.1	1872072	1872803	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2613083	0	live	aceE	VC2414	pyruvate dehydrogenase subunit E1	pyruvate dehydrogenase subunit E1		I	NC_002505.1	2584895	2587555	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2613082	0	live	aceF	VC2413	dihydrolipoamide acetyltransferase	dihydrolipoamide acetyltransferase		I	NC_002505.1	2582987	2584894	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2613399	0	live	acpP	VC2020	acyl carrier protein	acyl carrier protein		I	NC_002505.1	2174108	2174344	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2612999	0	live	acpS	VC2457	4'-phosphopantetheinyl transferase	4'-phosphopantetheinyl transferase		I	NC_002505.1	2640613	2640993	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614239	0	live	adk	VC0986	adenylate kinase	adenylate kinase		I	NC_002505.1	1050494	1051138	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615214	0	live	alaS	VC0545	alanyl-tRNA synthetase	alanyl-tRNA synthetase		I	NC_002505.1	576524	579106	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615051	0	live	alr	VC0372	alanine racemase	alanine racemase		I	NC_002505.1	387972	389099	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614766	0	live	alr	VC1312	alanine racemase	alanine racemase		I	NC_002505.1	1393726	1394949	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615480	0	live	anmK	VC0691, ydhH	anhydro-N-acetylmuramic acid kinase	anhydro-N-acetylmuramic acid kinase		I	NC_002505.1	738656	739768	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2613499	0	live	ansA	VC1995	asparaginase I	asparaginase I		I	NC_002505.1	2149035	2150048	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615774	0	live	apaG	VC0442	ApaG protein	ApaG protein		I	NC_002505.1	471271	471651	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615702	0	live	apaH	VC0441	diadenosine tetraphosphatase	diadenosine tetraphosphatase		I	NC_002505.1	470451	471260	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2612209	0	live	araD	VCA0244	L-ribulose-5-phosphate 4-epimerase	L-ribulose-5-phosphate 4-epimerase		II	NC_002506.1	264014	264706	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615661	0	live	argC	VC2644	N-acetyl-gamma-glutamyl-phosphate reductase	N-acetyl-gamma-glutamyl-phosphate reductase		I	NC_002505.1	2816012	2817013	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615635	0	live	argD	VC2618	acetylornithine aminotransferase	acetylornithine aminotransferase		I	NC_002505.1	2786528	2787739	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2613330	0	live	argS	VC2074	arginyl-tRNA synthetase	arginyl-tRNA synthetase		I	NC_002505.1	2230919	2232718	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615645	0	live	aroB	VC2628	3-dehydroquinate synthase	3-dehydroquinate synthase		I	NC_002505.1	2799345	2800445	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614442	0	live	aroE	VC0056	shikimate 5-dehydrogenase	shikimate 5-dehydrogenase		I	NC_002505.1	51668	52504	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615646	0	live	aroK	VC2629	shikimate kinase I	shikimate kinase I		I	NC_002505.1	2800458	2800982	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2611843	0	live	artM	VCA0757	arginine transporter permease subunit ArtM	arginine transporter permease subunit ArtM		II	NC_002506.1	701598	702266	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2611827	0	live	artP	VCA0760	arginine transporter ATP-binding subunit	arginine transporter ATP-binding subunit		II	NC_002506.1	703759	704487	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614244	0	live	asnB	VC0991	asparagine synthetase B	asparagine synthetase B		I	NC_002505.1	1054961	1056625	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614751	0	live	asnC	VC1297	asparaginyl-tRNA synthetase	asparaginyl-tRNA synthetase		I	NC_002505.1	1375995	1377395	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615526	0	live	aspA	VC2698	aspartate ammonia-lyase	aspartate ammonia-lyase		I	NC_002505.1	2864958	2866409	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614599	0	live	aspS	VC1166	aspartyl-tRNA synthetase	aspartyl-tRNA synthetase		I	NC_002505.1	1238124	1239899	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615633	0	live	astD	VC2616	succinylglutamic semialdehyde dehydrogenase	succinylglutamic semialdehyde dehydrogenase		I	NC_002505.1	2783902	2785359	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614940	0	live	atpC	VC2763	ATP synthase F0F1 subunit epsilon	ATP synthase F0F1 subunit epsilon		I	NC_002505.1	2949685	2950107	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614962	0	live	avtA	VC0019	valine--pyruvate transaminase	valine--pyruvate transaminase		I	NC_002505.1	15294	16550	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2613296	0	live	bcp	VC2160	thioredoxin-dependent thiol peroxidase	thioredoxin-dependent thiol peroxidase		I	NC_002505.1	2308172	2308639	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614385	0	live	bioD	VC1115	dithiobiotin synthetase	dithiobiotin synthetase		I	NC_002505.1	1184923	1185639	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615003	0	live	cadB	VC0280	lysine/cadaverine antiporter	lysine/cadaverine antiporter		I	NC_002505.1	285652	286989	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2613058	0	live	carB	VC2389	carbamoyl phosphate synthase large subunit	carbamoyl phosphate synthase large subunit		I	NC_002505.1	2554049	2557279	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2612988	0	live	cca	VC2446	multifunctional tRNA nucleotidyl transferase/2'3'-cyclic phosphodiesterase/2'nucleotidase/phosphatase	multifunctional tRNA nucleotidyl transferase/2'3'-cyclic phosphodiesterase/2'nucleotidase/phosphatase		I	NC_002505.1	2625303	2626514	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614420	0	live	ccrB	VC0060	camphor resistance protein CrcB	camphor resistance protein CrcB		I	NC_002505.1	59356	59736	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614577	0	live	clpA	VC1144	ATP-dependent Clp protease ATP-binding subunit	ATP-dependent Clp protease ATP-binding subunit		I	NC_002505.1	1213029	1215299	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2613551	0	live	clpP	VC1922	ATP-dependent Clp protease proteolytic subunit	ATP-dependent Clp protease proteolytic subunit		I	NC_002505.1	2073209	2073811	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614576	0	live	clpS	VC1143	ATP-dependent Clp protease adaptor protein ClpS	ATP-dependent Clp protease adaptor protein ClpS		I	NC_002505.1	1212670	1212990	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2613550	0	live	clpX	VC1921	ATP-dependent protease ATP-binding subunit ClpX	ATP-dependent protease ATP-binding subunit ClpX		I	NC_002505.1	2071849	2073129	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2613801	0	live	cls	VC1670	cardiolipin synthetase	cardiolipin synthetase		I	NC_002505.1	1802327	1803781	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2613545	0	live	cmk	VC1916	cytidylate kinase	cytidylate kinase		I	NC_002505.1	2065592	2066281	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614272	0	live	coaD	VC0222	phosphopantetheine adenylyltransferase	phosphopantetheine adenylyltransferase		I	NC_002505.1	228271	228765	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2612969	0	live	coaE	VC2427	dephospho-CoA kinase	dephospho-CoA kinase		I	NC_002505.1	2601508	2602149	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614675	0	live	cobS	VC1238	adenosylcobinamide-GDP ribazoletransferase	adenosylcobinamide-GDP ribazoletransferase		I	NC_002505.1	1312560	1313345	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614674	0	live	cobT	VC1237	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase		I	NC_002505.1	1311451	1312560	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614676	0	live	cobU	VC1239	adenosylcobinamide kinase/adenosylcobinamide phosphate guanyltransferase	adenosylcobinamide kinase/adenosylcobinamide phosphate guanyltransferase		I	NC_002505.1	1313354	1313893	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615579	0	live	cpdB	VC2562	bifunctional 2',3'-cyclic nucleotide 2'-phosphodiesterase/3'-nucleotidase	bifunctional 2',3'-cyclic nucleotide 2'-phosphodiesterase/3'-nucleotidase		I	NC_002505.1	2743466	2745427	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615521	0	live	cpxA	VC2693	two-component sensor protein	two-component sensor protein		I	NC_002505.1	2860491	2861885	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615519	0	live	cpxP	VC2691	periplasmic repressor CpxP	periplasmic repressor CpxP		I	NC_002505.1	2859114	2859617	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2612962	0	live	cyaA	VC0122	adenylate cyclase	adenylate cyclase		I	NC_002505.1	116053	118584	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2612963	0	live	cyaY	VC0123	frataxin-like protein	frataxin-like protein		I	NC_002505.1	118690	119004	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2613536	0	live	cysB	VC1907	transcriptional regulator CysB	transcriptional regulator CysB		I	NC_002505.1	2057955	2058929	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615666	0	live	cysE	VC2649	serine acetyltransferase	serine acetyltransferase		I	NC_002505.1	2822156	2822977	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615206	0	live	cysM	VC0537	cysteine synthase B	cysteine synthase B		I	NC_002505.1	568688	569575	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2615576	0	live	cysN	VC2559	sulfate adenylyltransferase subunit 1	sulfate adenylyltransferase subunit 1		I	NC_002505.1	2739823	2741253	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2613602	0	live	cysS	VC1848	cysteinyl-tRNA synthetase	cysteinyl-tRNA synthetase		I	NC_002505.1	1987276	1988655	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2613293	0	live	dapA	VC2157	4-hydroxy-tetrahydrodipicolinate synthase	4-hydroxy-tetrahydrodipicolinate synthase		I	NC_002505.1	2306459	2307337	minus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2614550	0	live	dapF	VC0126	diaminopimelate epimerase	diaminopimelate epimerase		I	NC_002505.1	120494	121324	plus	0		
243277	Vibrio cholerae O1 biovar El Tor str. N16961	2612512	0	live	dcuC	VCA0665	C4-dicarboxylate transporter DcuC	C4-dicarboxylate transporter DcuC		II	NC_002506.1	600714	602093	plus	0		
